date,amount,price,sid,symbol,value
2012-10-22 23:59:59.999989+00:00,3934462,33.372,4,VNM,-131300865.864
2012-10-22 23:59:59.999989+00:00,7109520,8.0528,28,PVS,-57251542.655999996
2012-10-22 23:59:59.999989+00:00,7141875,9.0059,33,SBT,-64319012.0625
2012-10-22 23:59:59.999989+00:00,17891747,5.3011,45,D2D,-94845940.0217
2012-10-22 23:59:59.999989+00:00,5346929,10.0233,81,DRC,-53593873.445700005
2012-10-29 23:59:59.999989+00:00,2335595,32.135999999999996,4,VNM,-75056680.91999999
2012-10-29 23:59:59.999989+00:00,27354748,3.2155,16,HSG,-87959192.194
2012-10-29 23:59:59.999989+00:00,-7109520,7.9995,28,PVS,56872605.24
2012-10-29 23:59:59.999989+00:00,4329390,8.9536,33,SBT,-38763626.304
2012-10-29 23:59:59.999989+00:00,-17891747,5.3614,45,D2D,95924812.3658
2012-10-29 23:59:59.999989+00:00,-5346929,9.8685,81,DRC,52766168.8365
2012-11-05 23:59:59.999989+00:00,-1792772,29.9112,4,VNM,53623961.8464
2012-11-05 23:59:59.999989+00:00,-27354748,3.0694,16,HSG,83962663.5112
2012-11-05 23:59:59.999989+00:00,-3171638,8.43,33,SBT,26736908.34
2012-11-05 23:59:59.999989+00:00,16253280,6.2546,50,HAI,-101657765.088
2012-11-05 23:59:59.999989+00:00,3937000,17.7169,80,CII,-69751435.3
2012-11-12 23:59:59.999989+00:00,1560769,31.1472,4,VNM,-48613584.1968
2012-11-12 23:59:59.999989+00:00,27341746,3.3251,16,HSG,-90914039.6246
2012-11-12 23:59:59.999989+00:00,-8299627,8.3776,33,SBT,69530955.15519999
2012-11-12 23:59:59.999989+00:00,-16253280,6.0571,50,HAI,98447742.288
2012-11-12 23:59:59.999989+00:00,1459209,17.933,80,CII,-26167994.997
2012-11-19 23:59:59.999989+00:00,-1988686,32.135999999999996,4,VNM,63908413.29599999
2012-11-19 23:59:59.999989+00:00,-6269997,3.2338,16,HSG,20275916.2986
2012-11-19 23:59:59.999989+00:00,17275624,6.2546,50,HAI,-108052117.8704
2012-11-19 23:59:59.999989+00:00,-1362456,18.227999999999998,80,CII,24834847.968
2012-11-26 23:59:59.999989+00:00,62958,32.135999999999996,4,VNM,-2023218.2879999997
2012-11-26 23:59:59.999989+00:00,39841,3.3822,16,HSG,-134750.2302
2012-11-26 23:59:59.999989+00:00,-816346,6.5838,50,HAI,5374658.7948
2012-11-26 23:59:59.999989+00:00,69578,18.5256,80,CII,-1288974.1968
2012-12-03 23:59:59.999989+00:00,-981243,31.8888,4,VNM,31290661.7784
2012-12-03 23:59:59.999989+00:00,-4562517,3.2319,16,HSG,14745598.6923
2012-12-03 23:59:59.999989+00:00,14286873,5.3915,45,D2D,-77027675.7795
2012-12-03 23:59:59.999989+00:00,-2164700,6.2546,50,HAI,13539332.62
2012-12-03 23:59:59.999989+00:00,-749110,17.855999999999998,80,CII,13376108.159999998
2012-12-10 23:59:59.999989+00:00,856828,32.135999999999996,4,VNM,-27535024.607999995
2012-12-10 23:59:59.999989+00:00,4421382,3.3258,16,HSG,-14704632.2556
2012-12-10 23:59:59.999989+00:00,-14286873,5.4818,45,D2D,78317780.41139999
2012-12-10 23:59:59.999989+00:00,2407128,6.3187,50,HAI,-15209919.693599999
2012-12-10 23:59:59.999989+00:00,788693,18.0048,80,CII,-14200259.7264
2012-12-17 23:59:59.999989+00:00,140603,31.6416,4,VNM,-4448903.8848
2012-12-17 23:59:59.999989+00:00,-505915,3.3446,16,HSG,1692083.309
2012-12-17 23:59:59.999989+00:00,16158,6.7795,50,HAI,-109543.161
2012-12-17 23:59:59.999989+00:00,-7361,17.855999999999998,80,CII,131438.01599999997
2012-12-24 23:59:59.999989+00:00,28634331,3.0686,3,HPG,-87867308.1066
2012-12-24 23:59:59.999989+00:00,-4128514,30.7764,4,VNM,127060798.26959999
2012-12-24 23:59:59.999989+00:00,3141789,3.4198,16,HSG,-10744290.0222
2012-12-24 23:59:59.999989+00:00,4705056,20.1132,26,PVD,-94633732.33919999
2012-12-24 23:59:59.999989+00:00,82804,7.306,50,HAI,-604966.024
2012-12-24 23:59:59.999989+00:00,-4135553,17.2608,80,CII,71382953.2224
2013-01-02 23:59:59.999989+00:00,-6975133,3.2382,3,HPG,22586875.6806
2013-01-02 23:59:59.999989+00:00,3360132,32.445,4,VNM,-109019482.74
2013-01-02 23:59:59.999989+00:00,-6863578,3.7204,16,HSG,25535255.5912
2013-01-02 23:59:59.999989+00:00,-1184782,20.7836,26,PVD,24624035.1752
2013-01-02 23:59:59.999989+00:00,-5061894,8.2275,50,HAI,41646732.885
2013-01-09 23:59:59.999989+00:00,-9181631,3.562,3,HPG,32704969.621999998
2013-01-09 23:59:59.999989+00:00,-1143620,35.7822,4,VNM,40921239.564
2013-01-09 23:59:59.999989+00:00,-7282872,4.3405,16,HSG,31611305.915999997
2013-01-09 23:59:59.999989+00:00,-1493865,22.2921,26,PVD,33301387.966500003
2013-01-09 23:59:59.999989+00:00,7291334,8.6405,37,PDR,-63000771.42699999
2013-01-09 23:59:59.999989+00:00,-2427581,8.2275,50,HAI,19972922.6775
2013-01-09 23:59:59.999989+00:00,7045643,6.7959,61,PPC,-47881485.2637
2013-01-09 23:59:59.999989+00:00,2336110,18.6,80,CII,-43451646.0
2013-01-16 23:59:59.999989+00:00,-507712,3.5929,3,HPG,1824158.4448000002
2013-01-16 23:59:59.999989+00:00,-363829,37.08,4,VNM,13490779.32
2013-01-16 23:59:59.999989+00:00,-1776325,4.6036,16,HSG,8177489.7700000005
2013-01-16 23:59:59.999989+00:00,-283485,24.0241,26,PVD,6810471.9885
2013-01-16 23:59:59.999989+00:00,3748062,10.5692,28,PVS,-39614016.8904
2013-01-16 23:59:59.999989+00:00,-13122,8.6405,37,PDR,113380.64099999999
2013-01-16 23:59:59.999989+00:00,-111133,8.3982,50,HAI,933317.1606
2013-01-16 23:59:59.999989+00:00,-1123812,7.5954,61,PPC,8535801.6648
2013-01-16 23:59:59.999989+00:00,-209816,18.4512,80,CII,3871356.9792
2013-01-23 23:59:59.999989+00:00,-624557,3.2999,3,HPG,2060975.6443
2013-01-23 23:59:59.999989+00:00,-69059,36.3384,4,VNM,2509493.5656
2013-01-23 23:59:59.999989+00:00,-50366,4.1338,16,HSG,208202.9708
