Date,Close,High,Low,Open,Volume
2001-05-28,6.1917,6.186,6.186,6.186,5800.0
2001-05-30,6.2949,6.2891,6.2891,6.2891,6500.0
2001-06-01,6.3981,6.3922,6.3922,6.3922,9100.0
2001-06-04,6.5013,6.4953,6.4953,6.4953,9200.0
2001-06-06,6.6045,6.5984,6.5984,6.5984,9000.0
2001-06-08,6.7077,6.7015,6.7015,6.7015,41100.0
2001-06-11,6.8108,6.8046,6.8046,6.8046,102100.0
2001-06-13,7.2752,7.2686,7.2686,7.2686,27100.0
2001-06-15,7.7396,7.7325,7.7325,7.7325,14600.0
2001-06-18,8.2556,8.248,8.248,8.248,20900.0
2001-06-20,8.8231,8.8151,8.8151,8.8151,22600.0
2001-06-22,9.3907,9.3821,9.3821,9.3821,38900.0
2001-06-25,9.8035,9.7945,9.7945,9.7945,88600.0
2001-06-27,9.1327,9.1244,9.1244,9.1244,10200.0
2001-06-29,8.5136,8.5058,8.5058,8.5058,6900.0
2001-07-02,7.946000000000001,7.9387,7.9387,7.9387,13300.0
2001-07-04,8.462,8.4542,8.4542,8.4542,92300.0
2001-07-06,8.2556,8.248,8.248,8.248,80900.0
2001-07-09,7.688,7.681,7.681,7.681,23900.0
2001-07-11,7.1204,7.1139,7.1139,7.1139,12700.0
2001-07-13,6.6561,6.65,6.65,6.65,42200.0
2001-07-16,6.6045,6.5984,6.5984,6.5984,54900.0
2001-07-18,7.0172,7.0108,7.0108,7.0108,16300.0
2001-07-20,7.4816,7.4748,7.4748,7.4748,12500.0
2001-07-23,6.9656,6.9593,6.9593,6.9593,87000.0
2001-07-25,7.2236,7.2170000000000005,7.2170000000000005,7.2170000000000005,34100.0
2001-07-27,7.1204,7.1139,7.1139,7.1139,19100.0
2001-07-30,6.7077,6.7015,6.7015,6.7015,22400.0
2001-08-01,6.2433,6.2376,6.2376,6.2376,33700.0
2001-08-03,5.8305,5.8252,5.8252,5.8252,8600.0
2001-08-06,5.4693,5.4643,5.4643,5.4643,12000.0
2001-08-08,5.8305,5.8252,5.8252,5.8252,66700.0
