Date,Close,High,Low,Open,Volume
2000-11-01,5.2441,5.2432,5.2432,5.2432,11700.0
2000-11-03,5.3345,5.3336,5.3336,5.3336,2500.0
2000-11-06,5.425,5.4239999999999995,5.4239999999999995,5.4239999999999995,2800.0
2000-11-08,5.5335,5.5325,5.5325,5.5325,5300.0
2000-11-10,5.642,5.641,5.641,5.641,2800.0
2000-11-13,5.7505,5.7494,5.7494,5.7494,1900.0
2000-11-15,5.8589,5.8579,5.8579,5.8579,2100.0
2000-11-17,5.9674,5.9664,5.9664,5.9664,500.0
2000-11-20,6.0759,6.0749,6.0749,6.0749,2300.0
2000-11-22,6.1844,6.1834,6.1834,6.1834,7400.0
2000-11-24,6.2929,6.2918,6.2918,6.2918,13900.0
2000-11-27,6.4014,6.4003,6.4003,6.4003,18200.0
2000-11-29,6.528,6.5269,6.5269,6.5269,8300.0
2000-12-01,6.6546,6.6534,6.6534,6.6534,14400.0
2000-12-04,6.7812,6.78,6.78,6.78,10200.0
2000-12-06,6.9078,6.9066,6.9066,6.9066,15800.0
2000-12-08,7.0344,7.0331,7.0331,7.0331,22700.0
2000-12-11,7.1609,7.1597,7.1597,7.1597,37700.0
2000-12-13,7.1248,7.1235,7.1235,7.1235,14300.0
2000-12-15,7.2514,7.2501,7.2501,7.2501,21900.0
2000-12-18,7.396,7.3947,7.3947,7.3947,37700.0
2000-12-20,7.5407,7.5394,7.5394,7.5394,10000.0
2000-12-22,7.6854,7.684,7.684,7.684,2000.0
2000-12-25,7.83,7.8286,7.8286,7.8286,1200.0
2000-12-27,7.9747,7.9733,7.9733,7.9733,6600.0
2000-12-29,8.1193,8.1179,8.1179,8.1179,2900.0
2001-01-03,8.264,8.2626,8.2626,8.2626,8300.0
2001-01-05,8.4268,8.4253,8.4253,8.4253,900.0
2001-01-08,8.5895,8.588,8.588,8.588,11000.0
2001-01-10,8.7523,8.7507,8.7507,8.7507,27300.0
2001-01-12,8.5895,8.588,8.588,8.588,14700.0
2001-01-15,8.7523,8.7507,8.7507,8.7507,28600.0
2001-01-17,8.915,8.9134,8.9134,8.9134,11600.0
2001-01-19,9.0416,9.04,9.04,9.04,27800.0
2001-01-29,9.2224,9.2208,9.2208,9.2208,1700.0
2001-01-31,9.4033,9.4016,9.4016,9.4016,5000.0
2001-02-02,9.5841,9.5824,9.5824,9.5824,5600.0
2001-02-05,9.7649,9.7632,9.7632,9.7632,200.0
2001-02-07,9.9457,9.943999999999999,9.943999999999999,9.943999999999999,1000.0
2001-02-09,10.1266,10.1248,10.1248,10.1248,200.0
2001-02-12,9.9457,9.943999999999999,9.943999999999999,9.943999999999999,31200.0
2001-02-14,9.7649,9.7632,9.7632,9.7632,37300.0
2001-02-16,9.9457,9.943999999999999,9.943999999999999,9.943999999999999,25100.0
2001-02-19,10.1266,10.1248,10.1248,10.1248,15600.0
2001-02-21,9.9457,9.943999999999999,9.943999999999999,9.943999999999999,35500.0
2001-02-23,10.1266,10.1248,10.1248,10.1248,22300.0
2001-02-26,10.3074,10.3056,10.3056,10.3056,23400.0
2001-02-28,10.4882,10.4864,10.4864,10.4864,54400.0
2001-03-02,10.6691,10.6672,10.6672,10.6672,24400.0
2001-03-05,10.8499,10.847999999999999,10.847999999999999,10.847999999999999,19600.0
2001-03-07,11.0307,11.0288,11.0288,11.0288,11600.0
2001-03-09,11.2116,11.2096,11.2096,11.2096,5100.0
2001-03-12,11.3924,11.3904,11.3904,11.3904,3200.0
2001-03-14,11.5732,11.5712,11.5712,11.5712,200.0
2001-03-16,11.7541,11.752,11.752,11.752,2200.0
2001-03-19,11.9349,11.9328,11.9328,11.9328,2500.0
2001-03-21,12.1157,12.1136,12.1136,12.1136,600.0
2001-03-23,12.2966,12.2944,12.2944,12.2944,200.0
2001-03-26,12.4774,12.4752,12.4752,12.4752,6200.0
2001-03-28,12.6582,12.655999999999999,12.655999999999999,12.655999999999999,600.0
2001-03-30,12.8391,12.8368,12.8368,12.8368,1300.0
2001-04-02,13.0199,13.0176,13.0176,13.0176,1400.0
2001-04-04,13.2007,13.1984,13.1984,13.1984,2300.0
2001-04-06,13.3816,13.3792,13.3792,13.3792,2300.0
2001-04-09,13.5624,13.56,13.56,13.56,1400.0
2001-04-11,13.8336,13.8312,13.8312,13.8312,1300.0
2001-04-13,14.1049,14.1024,14.1024,14.1024,600.0
2001-04-16,14.3761,14.3736,14.3736,14.3736,100.0
2001-04-18,14.6474,14.6448,14.6448,14.6448,700.0
2001-04-20,14.9186,14.915999999999999,14.915999999999999,14.915999999999999,14400.0
2001-04-23,15.1899,15.1872,15.1872,15.1872,16000.0
2001-04-25,15.4611,15.4584,15.4584,15.4584,27000.0
2001-04-27,15.7324,15.7296,15.7296,15.7296,1400.0
2001-05-02,16.0036,16.0008,16.0008,16.0008,2400.0
2001-05-04,16.2749,16.272000000000002,16.272000000000002,16.272000000000002,200.0
2001-05-07,16.5461,16.5432,16.5432,16.5432,400.0
2001-05-09,16.8174,16.8144,16.8144,16.8144,200.0
2001-05-11,17.0886,17.0856,17.0856,17.0856,100.0
2001-05-14,17.3599,17.3568,17.3568,17.3568,100.0
2001-05-16,17.6311,17.628,17.628,17.628,2000.0
2001-05-18,17.9023,17.8992,17.8992,17.8992,1100.0
2001-05-21,18.0832,18.08,18.08,18.08,4300.0
2001-05-23,18.4448,18.4416,18.4416,18.4416,19400.0
2001-05-25,18.8065,18.8032,18.8032,18.8032,8400.0
2001-05-28,19.1682,19.1648,19.1648,19.1648,5800.0
2001-05-30,19.5298,19.5264,19.5264,19.5264,400.0
2001-06-01,19.8915,19.887999999999998,19.887999999999998,19.887999999999998,1000.0
2001-06-04,20.2532,20.2496,20.2496,20.2496,700.0
2001-06-06,20.6148,20.6112,20.6112,20.6112,1700.0
2001-06-08,20.9765,20.9728,20.9728,20.9728,15300.0
2001-06-11,20.6148,20.6112,20.6112,20.6112,25300.0
2001-06-13,21.8806,21.8768,21.8768,21.8768,20200.0
2001-06-15,23.3273,23.3232,23.3232,23.3232,14700.0
2001-06-18,24.9548,24.9504,24.9504,24.9504,9100.0
2001-06-20,26.4014,26.3968,26.3968,26.3968,18900.0
2001-06-22,24.5931,24.5888,24.5888,24.5888,11000.0
2001-06-25,22.9656,22.9616,22.9616,22.9616,19400.0
